FEN;move;first_eval;is_capture;move_impact
r3k2r/p2q1pp1/2p1b2p/1pP1n3/4P3/3BB2P/P1P1Q1P1/1R3R1K w kq - 0 20;f1d1;False;50;53
rnb2k2/ppp2p1p/3b1q2/3P3n/2BP1ppP/8/PPP3P1/RNBQR1K1 w - - 0 13;c2c3;False;-216;164
r4rk1/ppp2p1p/2nq1pb1/3pN3/1b1P2P1/2NB3P/PPPQ1P2/4RRK1 w - - 0 15;e5g6;True;80;137
rn1qk2r/ppp2pp1/3bbn1p/3p4/3P4/3B1N2/PPP2PPP/RNBQR1K1 w kq - 2 8;f3e5;False;92;91
r4rk1/ppp4p/2nq2pQ/3p1p2/1b1P2P1/2NB3P/PPP2P2/4RRK1 w - - 0 17;c3b5;False;2;53
r1q3kr/p4pp1/2p1b2p/1pP4Q/4P3/3RB2P/P1P3P1/3R3K w - - 5 24;d3d8;False;130;244
r1bqk1nr/pppp1ppp/2n5/2b5/2BpP3/2P2N2/P4PPP/RNBQ1RK1 b kq - 1 7;d7d6;False;28;58
r1bqk1nr/ppp2ppp/1bnp4/8/2BPP3/2N2N2/P4PPP/R1BQ1RK1 b kq - 2 9;c8g4;False;0;79
r5k1/pppq2bp/2n2rp1/1N1p1P2/3P3Q/2PB3P/PP3P2/4RR1K w - - 3 22;f1g1;False;185;152
3r3r/p4p1k/2p3pp/1pP2Q2/3BP3/2P4P/b5P1/7K w - - 0 29;f5f2;False;64;208
r5k1/1ppq2bp/p1n2rp1/1N1p1P2/3P3Q/2PB3P/PP3P2/4R1RK w - - 0 23;f5g6;True;90;62
r6r/ppqn1kp1/2pb1npp/3p4/3P4/3BB3/PPP2PPP/RN1QR1K1 w - - 2 13;d1f3;False;125;65
3r3r/p4p1k/2p1b1pp/1pP5/3BP3/2P4P/5QP1/7K w - - 2 30;d4h8;True;-153;69
r3k2r/pppq1p2/2np1n2/2b1P1pp/2Bp2bP/2P2NB1/PP3PP1/RN1Q1RK1 b kq - 0 12;d6e5;True;228;176
6k1/1ppq2b1/p1n1r1Pp/3p4/3P3Q/2PB2RP/PPN2r2/6RK w - - 4 28;c2e3;False;147;72
3r4/5p1k/2p3pp/1pP5/p3P3/1bP1K2P/6P1/2Q5 w - - 4 36;h3h4;False;-155;58
6k1/1pp1n1b1/p3r1Pp/3p4/3P4/2PBN1RP/PP4r1/7K w - - 0 31;h1g2;True;131;85
r2qr3/1p3kp1/pn1b1npp/3p4/3P2P1/2NBBQ2/PP3P2/2R1R2K w - - 0 20;e1g1;False;51;90
r2qr3/1p3kp1/pn1b1n1p/3p2p1/3P2P1/2NBBQ2/PP3P2/2R3RK w - - 0 21;d3f5;False;-66;74
2k4r/ppp2p2/2q2n2/2P3p1/2Pp2Pr/3B4/P5P1/RN1Q1RK1 b - - 0 21;c6e8;False;549;516
2k1q2r/ppp2p2/5n2/2P3p1/2Pp2Pr/3B4/P5P1/RN2QRK1 b - - 2 22;e8e3;False;3993;3556
r5kr/p1p2ppp/1bpp1qn1/8/3PP3/3Q1P2/P3NP1P/R1B3RK b - - 10 18;h7h6;False;-35;72
rnbqk1nr/1p1p2bp/p3p1p1/2p1Pp2/8/2N2N2/PPPPBPPP/R1BQ1RK1 w kq f6 0 7;b2b3;False;112;148
r6r/p1p1nppk/1bp2q1p/3p1P2/3PP3/3Q1P2/PB2N2P/R5RK b - - 0 22;a8d8;False;-4;147
3r2r1/p1p1nppk/1bp2P1p/3p3N/3PP2q/3Q1P2/PB5P/R5RK b - - 0 25;h4h5;True;72;116
3r2r1/p1p1Pppk/1bp4p/3p3q/3PP3/3Q1P2/PB5P/R5RK b - - 0 26;d8d7;False;-13;135
4rr1k/pbpqnp1p/1p1p1npQ/5P2/3P4/2NB2N1/PPP3PP/R4RK1 w - - 1 16;c3e2;False;362;242
r1b1kb1r/2qp3p/p3p1p1/2p1np2/N7/BPQ5/P1P1BPPP/R3R1K1 w kq - 0 16;e2c4;False;128;63
3qrrnk/pbp1np1p/1p1p2p1/5P2/3P3Q/3B2N1/PPP1N1PP/R4RK1 w - - 5 18;e2f4;False;147;113
4r3/p1prqp1k/1bP3pp/5R2/3P4/3Q1P2/PB5P/6RK b - - 0 31;d7d8;False;139;79
r1b1kb2/3p3Q/p1q1p1p1/2p2p2/N7/nP6/P1P2PPP/R3R1K1 w q - 1 19;a1d1;False;120;120
3r1rnk/pbp2p1p/1p1p2p1/3n1P2/3P1N2/3B2N1/PPP3PP/R4RK1 w - - 0 20;a1e1;False;37;63
r1b1kb2/7Q/p1q1p1p1/2pp1p2/N7/nP6/P1P2PPP/3RR1K1 w q - 0 20;a4b6;False;189;272
3rr3/p1p4k/1bP1q1pp/5p2/3P3R/B2Q1P2/P6P/6RK b - - 1 34;h6h5;False;360;123
r7/2kb2Q1/p2qp3/2pp1p2/8/nP6/P1P2PPP/3RR1K1 w - - 3 25;c2c4;False;-36;65
3rr3/p1p4k/1bP1q1p1/5p1p/3P3R/3Q1P2/PB5P/6RK b - - 1 35;d8d5;False;258;77
4r3/1p2r1k1/pn1q2pp/6p1/3P2P1/P1P2Q2/B2K1R2/2R5 w - - 3 38;c1h1;False;-12;81
4r3/p1p4k/1bP3p1/1q1r1p1p/3P3R/2Q2P2/PB5P/6RK b - - 7 38;e8e2;False;188;153
2n1r3/1p2r1k1/p5pp/8/3P1pP1/P1P5/B2K1R2/1R6 w - - 2 41;a2d5;False;-113;58
r2qk2r/1pp2ppp/p1np1n2/2b1p3/2B1P1b1/2NPBN2/PPP2PPP/R2Q1RK1 w kq - 0 8;g1h1;False;18;73
1rb1k2r/4bppp/pq2p3/1p6/3PP3/1P3N2/3QNPPP/R4RK1 w k - 1 16;e2f4;False;38;74
r2qk2r/bpp2ppp/p1np1n2/4p3/2B1P1b1/2NPBN2/PPP2PPP/R2Q1R1K w kq - 2 9;f1g1;False;19;79
3r2nk/p1p2b2/1p3p2/3PpPpp/2P5/1P1B2N1/P4KPP/4R3 w - - 0 29;g3e4;False;25;75
8/1p1r2k1/pR1n2pp/3B4/3P1pP1/P1P5/4K3/8 w - - 1 45;c3c4;False;74;60
1r2k2r/1b2bppp/pq2p3/1p6/3PPN2/1P3N2/3Q1PPP/R4RK1 w k - 3 17;f3e5;False;-10;96
rnb1kbnr/ppppqp1p/8/8/2B1Pp2/5Q2/PPPP2PP/RNB2RK1 w kq - 1 7;d2d4;False;-5;116
r2qk2r/bpp2pp1/p1np1nbp/4p3/2B1P1P1/2NPBN1P/PPP2P2/R2Q2RK w kq - 1 12;c3e2;False;16;87
3r1rk1/1b3ppp/pq2pb2/1p1PN3/4PN2/1PQ5/5PPP/R4RK1 w - - 3 20;f4h5;False;-74;117
4k3/1p1r4/pR1n3p/6p1/2PP1pP1/P2K4/8/7B w - - 4 48;a3a4;False;254;166
3k4/1p1r4/pR1n3p/6p1/P1PP1pP1/3K4/8/7B w - - 1 49;c4c5;False;212;50
r1bqk1nr/pp1pppbp/2n3p1/2p1P3/2B5/2N2N2/PPPP1PPP/R1BQ1RK1 w kq - 3 7;d1e2;False;121;57
r1b1kbnr/ppppqp1p/8/8/2BnPp2/2N2Q2/PPP3PP/R1B2RK1 w kq - 0 9;f3d3;False;-115;58
3k4/1p1r1n2/pR5p/2P3p1/P2P1pP1/3K4/8/7B w - - 1 50;b6b7;True;267;225
r1bqk2r/pp1pppbp/2n3pn/2p1P3/2B5/2N2N2/PPPPQPPP/R1B2RK1 w kq - 5 8;c3e4;False;44;54
3k4/1R1r4/p6p/2P3p1/P2P1pn1/2K5/8/7B w - - 0 52;b7d7;True;104;187
8/3k4/p6p/2P3p1/P2P1pn1/2K5/8/7B w - - 0 53;d4d5;False;-109;85
4k2r/rppq1pp1/pnn3b1/4p1Pp/3P4/1B3N1P/PPP1NP2/R2Q2RK w k - 1 18;h1h2;False;77;50
r1b1k1nr/p1pp1p1p/4n2b/1pqN4/4Pp2/1B1Q4/PPP3PP/R1B2R1K w kq - 2 13;c1d2;False;-89;53
8/1B1k4/p2P4/2P3p1/P2K1p2/7p/5n2/8 w - - 0 57;d4e5;False;-48;336
4k2r/rppq1pp1/pnn3b1/6Pp/3p4/1B3N1P/PPP1NP1K/R2Q2R1 w k - 0 19;e2d4;True;32;54
r1b2rk1/pp2ppbp/2n3p1/qB1pPn2/N2P4/5N2/PPP1QPPP/R1B2RK1 w - - 1 13;c2c3;False;239;71
4rk2/R7/1p3p2/3P1npp/2B5/1P2p3/P3K1PP/8 w - - 2 41;a7h7;False;-10;56
4rk2/7R/1p3p2/3P2pp/2Bn4/1P2p3/P3K1PP/8 w - - 4 42;e2d3;False;-55;58
5rk1/5ppp/R7/1p2N3/1Pb1p3/8/1r3PPP/4R1K1 w - - 5 29;e5c6;False;-17;211
6k1/5r2/1p1P1p2/6pp/2Bn4/1P1Kp3/P5PP/8 w - - 1 45;d3d4;True;-182;64
3r1rk1/1pp2pp1/pnn3b1/2q3Pp/5N2/1B3N1P/PPP2PK1/R2QR3 w - - 9 24;d1e2;False;100;170
3r1rk1/1pp2pp1/pn4b1/2q3Pp/3n1N2/1B3N1P/PPP1QPK1/R3R3 w - - 11 25;e2e7;False;-108;53
r3kr2/p1Qpn1qp/b4p1b/1p2P3/5p2/1BB5/PPP3PP/4RR1K w q - 3 20;e5f6;True;650;159
3r1rk1/1pp1Qpp1/pnq3b1/6Pp/3n1N2/1B3N1P/PPP2PK1/R3R3 w - - 13 26;e1e3;False;-128;128
r4rk1/pp2npbp/q3p1p1/1b1pP3/3P2P1/2PN1N2/PP2QP1P/R1BR2K1 w - - 1 19;g4g5;False;207;104
3k4/5r2/1pKP1p2/6pp/2B5/1P2p3/P5PP/8 w - - 5 48;c6b6;True;-188;60
5r2/R5pk/2N4p/1p3p2/1Pb1p2P/8/1r3PP1/4R1K1 w - - 2 32;e1a1;False;-46;201
r3k3/p1Qpn1qp/b1r4b/1p6/1B3p2/1B6/PPP3PP/4RR1K w q - 2 22;c7a5;False;753;616
8/R5pk/2N2r1p/1p3p2/1Pb1p2P/8/1r3PP1/R5K1 w - - 4 33;a7c7;False;-205;314
3k4/8/2KP1r2/6pp/P1B2p2/1P2p3/6PP/8 w - - 0 51;a4a5;False;265;145
1k3r2/8/P1KP4/6pp/1PB2p2/4p3/6PP/8 w - - 1 54;d6d7;False;548;109
2r1brk1/pp3pbp/q3p1p1/3pPnP1/P2P4/2PN1N2/1PQ2P1P/R1BR2K1 w - - 1 22;b2b3;False;198;56
1rk5/p2pb1qp/b4r2/Qp1B4/5R2/8/PPP3PP/4R2K w - - 7 28;f4e4;False;182;503
2k5/p3b1qp/br2p3/Qp6/4R3/7P/PPP3P1/4R2K w - - 0 31;a2a4;False;-41;52
r1bqk1nr/pppp1ppp/2n5/b7/2BpP3/2P2N2/P4PPP/RNBQ1RK1 b kq - 1 7;a5b6;False;49;91
2kb4/p5qp/br2p3/7Q/Pp2R3/7P/1PP3P1/4R2K w - - 2 33;e1d1;False;-52;65
r1bqk2r/ppppbppp/2n5/1B1Pp3/4n3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6;c6b8;False;-4;67
2k5/p1b1q2p/br2p3/7Q/Pp1R4/7P/1PP3P1/3R3K w - - 6 35;d4g4;False;-7;202
